"doi"	"full_text_indicator_automated"	"date_of_manual_full_text_check_inside_campus"	"full_text_indicator_manual_inside_campus"	"date_of_manual_full_text_check_outside_campus"	"full_text_indicator_manual_outside_campus"
"10.1007/bf01441062"	0	2018-01-04	"0"	2018-01-04	"0"
"10.20531/tfb.2016.44.1.11"	0	2018-01-04	"1"	2018-01-04	"1"
"10.1080/00377996.1953.9957299"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1038/s41550-016-0030"	0	2018-01-04	"1"	2018-01-04	"1"
"10.1111/j.1478-4408.1958.tb02258.x"	0	2018-01-04	"1"	2018-01-04	"0"
"10.1111/j.1550-7408.1962.tb02648.x"	0	2018-01-04	"1"	2018-01-04	"0"
"10.1007/978-3-658-12388-8_1"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1017/s1357729800051109"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1108/s1479-3679(2013)0000020014"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1136/bmj.1.4706.586"	0	2018-01-04	"1"	2018-01-04	"0"
"10.1093/molehr/gaq017"	0	2018-01-04	"1"	2018-01-04	"1"
"10.1093/mnras/89.4.329"	0	2018-01-04	"1"	2018-01-04	"1"
"10.1093/qjmed/hct203"	0	2018-01-04	"1"	2018-01-04	"1"
"10.1097/acm.0000000000000545"	0	2018-01-04	"1"	2018-01-04	"1"
"10.3109/17453059209051382"	0	2018-01-04	"0"	2018-01-04	"0"
"10.2165/00003495-198300252-00083"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1007/978-1-4614-2251-8_15"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1179/136404609x12572514498892"	0	2018-01-04	"0"	2018-01-04	"0"
"10.3855/jidc.4620"	0	2018-01-04	"1"	2018-01-04	"1"
"10.1017/s0007485307005305"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1016/0021-9517(79)90166-0"	0	2018-01-04	"1"	2018-01-04	"1"
"10.1002/14651858.cd008009.pub2"	0	2018-01-04	"1"	2018-01-04	"0"
"10.1007/978-94-011-4683-8_4"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1002/prac.18430290165"	0	2018-01-04	"1"	2018-01-04	"0"
"10.1016/0306-2619(90)90086-s"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1680/geot.2004.54.3.233"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1111/j.1468-5914.1986.tb00063.x"	0	2018-01-04	"1"	2018-01-04	"0"
"10.3934/dcdsb.2014.19.485"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1097/ccm.0b013e31821b85c6"	0	2018-01-04	"1"	2018-01-04	"0"
"10.1515/ci.2008.30.1.8"	0	2018-01-04	"1"	2018-01-04	"1"
"10.1080/00222338008068111"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1080/00150190902848156"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1007/bf01557174"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1080/14786419.2014.988714"	0	2018-01-04	"0"	2018-01-04	"0"
"10.1016/j.scient.2011.05.025"	0	2018-01-04	"1"	2018-01-04	"1"
"10.1051/eas/1042000"	0	2018-01-03	"0"	2018-01-04	"0"
"10.3727/096368912x655154"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1007/bf03164593"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1109/ijcnn.2007.4371306"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1007/s00261-016-0956-8"	0	2018-01-03	"1"	2018-01-04	"0"
"10.1017/s0020860400011542"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1587/transele.e92.c.1504"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1007/bf01678469"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1107/s0108767388009286"	0	2018-01-03	"1"	2018-01-04	"0"
"10.1080/0889311x.2014.973868"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1016/s0171-2985(80)80037-4"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1002/chin.197531174"	0	2018-01-03	"1"	2018-01-04	"0"
"10.1002/zaac.19402430401"	0	2018-01-03	"1"	2018-01-04	"0"
"10.1029/2011jd016541"	0	2018-01-03	"1"	2018-01-04	"1"
"10.17816/jowd6265-11"	0	2018-01-03	"invalid"	2018-01-04	"1"
"10.1016/0022-1031(69)90003-1"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1007/s12494-010-0025-6"	0	2018-01-03	"0"	2018-01-04	"0"
"10.3233/jnd-160146"	0	2018-01-03	"1"	2018-01-04	"1"
"10.7748/eldc.6.5.41.s39"	0	2018-01-03	"0"	2018-01-04	"0"
"10.2306/scienceasia1513-1874.2013.39.204"	0	2018-01-03	"1"	2018-01-04	"1"
"10.3934/dcds.2016103"	0	2018-01-03	"0"	2018-01-04	"invalid"
"10.1080/19447015408688036"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1016/0002-9394(54)91770-5"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1007/978-94-007-6173-5_139-1"	0	2018-01-03	"1"	2018-01-04	"0"
"10.1017/s0004972715001860"	0	2018-01-03	"0"	2018-01-04	"0"
"10.2139/ssrn.1394745"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1002/chin.198935250"	0	2018-01-03	"0"	2018-01-04	"0"
"10.18201/ijisae.273053"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1002/zamm.19660460319"	0	2018-01-03	"1"	2018-01-04	"0"
"10.1517/13543776.2012.684946"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1029/2000wr900383"	0	2018-01-03	"1"	2018-01-04	"0"
"10.1517/17460441.2015.1079618"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1093/toxsci/kft259"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1071/fp14035"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1002/phbl.19510070201"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1515/ijnsns-2011-0005"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1515/jnet.1983.8.4.255"	0	2018-01-03	"0"	2018-01-04	"0"
"10.3892/or.2012.2190"	0	2018-01-03	"invalid"	2018-01-04	"invalid"
"10.5408/1.3604824"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1093/nar/gkh603"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1097/00001888-197312000-00009"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1007/bf01221875"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1007/bf01257666"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1587/transcom.e94.b.1944"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1504/ijsnet.2016.074278"	0	2018-01-03	"0"	2018-01-04	"0"
"10.15833/kafeiam.22.1.031"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1142/s0218488513500244"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1080/00218839.1979.11099957"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1002/14651858.cd001055.pub3"	0	2018-01-03	"1"	2018-01-04	"0"
"10.5042/jacpr.2010.0335"	0	2018-01-03	"0"	2018-01-04	"0"
"10.2172/1057364"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1007/s12513-012-0083-4"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1093/jac/dkt265"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1136/bmj.2.4776.167"	0	2018-01-03	"1"	2018-01-04	"0"
"10.4028/www.scientific.net/amm.760.175"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1002/14651858.cd004403.pub2"	0	2018-01-03	"1"	2018-01-04	"0"
"10.1016/s0160-3450(15)30895-3"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1080/10510978309368140"	0	2018-01-03	"0"	2018-01-04	"0"
"10.2139/ssrn.945322"	0	2018-01-03	"1"	2018-01-04	"1"
"10.3139/146.110260"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1016/j.jgyn.2013.12.004"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1038/gim.2016.139"	0	2018-01-03	"1"	2018-01-04	"0"
"10.1029/2004gl021817"	0	2018-01-03	"1"	2018-01-04	"1"
"10.1007/bf02174690"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1159/000350583"	0	2018-01-03	"0"	2018-01-04	"0"
"10.1155/2013/313905"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1111/j.1440-1754.2010.01778.x"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.dam.2008.12.008"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1111/nph.14486"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1097/phm.0b013e3181c56938"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.vetmic.2013.10.018"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1002/lt.21788"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1021/i650568a711"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1007/s004260050046"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.physletb.2015.10.071"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.sleep.2013.11.336"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1007/s00419-012-0674-9"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/0272-6386(95)90111-6"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/0370-2693(85)90704-x"	1	2018-01-03	"1"	2018-01-04	"1"
"10.2307/2205376"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1111/j.1749-6632.1986.tb26492.x"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1186/s12889-016-3008-y"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1111/cico.12174"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.ejor.2008.02.026"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1038/srep34005"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1115/1.3139652"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1186/s12967-014-0256-4"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1186/s12891-017-1482-8"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.cognition.2010.08.010"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1097/fjc.0b013e3181ac8e12"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1038/121170a0"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1109/chicc.2016.7554656"	1	2018-01-03	"0"	2018-01-04	"0"
"10.1021/om200288e"	1	2018-01-03	"1"	2018-01-04	"0"
"10.15261/serdj.22.177"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.ridd.2008.09.003"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.powtec.2010.02.012"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1055/s-0035-1558152"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.tripleo.2011.04.007"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.enzmictec.2011.10.004"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1209/0295-5075/93/50003"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1080/09638191003599527"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1007/s10719-015-9582-x"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1007/s11069-010-9629-z"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1089/neu.2014.3492"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1080/09585192.2016.1242508"	1	2018-01-03	"0"	2018-01-04	"0"
"10.1051/0004-6361/201321042"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.rehab.2014.03.1380"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1111/j.1365-4632.2012.05709.x"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1371/journal.pone.0071370"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1353/leg.0.0005"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.jim.2009.05.011"	1	2018-01-03	"1"	2018-01-04	"1"
"10.9789/2175-5361.2013v5n4p556"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1210/jc.2009-0474"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1093/rpd/ncs007"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.clon.2009.11.003"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1158/1078-0432.ccr-10-3105"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1007/s11999-011-2149-7"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1590/s0101-32622002000200003"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.pec.2014.08.021"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1109/tcyb.2016.2545688"	1	2018-01-03	"0"	2018-01-04	"0"
"10.1016/j.jempfin.2015.09.001"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.ajic.2010.12.005"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1007/s10957-010-9771-5"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1038/jhh.2016.76"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1002/jnr.1149"	1	2018-01-03	"1"	2018-01-04	"0"
"10.3758/s13414-014-0713-4"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1063/1.4869572"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/s0168-8278(87)80474-9"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1525/jps.2005.35.1.60"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1143/jpsj.50.3131"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1146/annurev-psych-010213-115100"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1590/s1413-35552007000100013"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.biopha.2016.08.042"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1177/0002764217693277"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1080/14754835.2014.923754"	1	2018-01-03	"0"	2018-01-04	"0"
"10.1057/palgrave.development.1100225"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1007/s11046-014-9755-3"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1093/humrep/det283"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1890/11-1817.1"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.carbon.2014.03.019"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1080/01490419.2011.637154"	1	2018-01-03	"0"	2018-01-04	"0"
"10.1111/gequ.10192"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1167/iovs.12-10257"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.carbon.2014.05.057"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1088/0957-4484/26/6/065702"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.chroma.2012.12.040"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.paid.2009.10.022"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.ajem.2010.02.002"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1007/s10703-010-0095-8"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.jclepro.2011.12.037"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.wasman.2013.10.006"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1371/journal.pgen.1001343"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1007/s11845-010-0519-x"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/s0011-8486(11)00306-2"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.sedgeo.2017.03.003"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1039/c3gc36844k"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1364/oe.24.029109"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1016/j.saa.2010.06.006"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1086/684103"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1111/j.2044-8325.2012.02058.x"	1	2018-01-03	"0"	2018-01-04	"0"
"10.1021/acs.jafc.5b00932"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1186/s13072-017-0121-9"	1	2018-01-03	"1"	2018-01-04	"1"
"10.2214/ajr.13.12055"	1	2018-01-03	"1"	2018-01-04	"1"
"10.1021/ma900452x"	1	2018-01-03	"1"	2018-01-04	"0"
"10.1016/j.jsis.2016.02.004"	1	2018-01-03	"1"	2018-01-04	"1"
